cnpj;name;abbreviation;logoUrl;mainColor
string;string;string;string;string
07665130000000;REPUBLICANOS ;REPUBLICANOS;;
00887169000000;PROGRESSISTAS ;PP;;
00719575000000;PARTIDO DEMOCRATICO TRABALHISTA;PDT;;
00676262000000;PARTIDO DOS TRABALHADORES;PT;;
03605140000000;PARTIDO TRABALHISTA BRASILEIRO ;PTB;;
00676213000000;MOVIMENTO DEMOCRATICO BRASILEIRO ;MDB;;
73282900000000;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;PSTU;;
01209410000000;PARTIDO SOCIAL LIBERAL;PSL;;
17981200000000;REDE SUSTENTABILIDADE;REDE;;
01248360000000;PODEMOS;PODE;;
01450860000000;DIRETORIO NACIONAL DO PARTIDO SOCIAL CRISTAO;PSC;;
01585550000000;PARTIDO COMUNISTA BRASILEIRO ORGAO DEFINITIVO BRASIL ;PCB;;
08517420000000;PARTIDO LIBERAL;PL;;
29417400000000;CIDADANIA ;CIDADANIA;;
01633510000000;UNIÃO BRASIL;UNIÃO;;
01127630000000;DEMOCRACIA CRISTA ;DC;;
01272980000000;PARTIDO RENOVADOR TRABALHISTA BRASILEIRO;PRTB;;
01307060000000;PARTIDO DA CAUSA OPERARIA;PCO;;
13405900000000;PARTIDO NOVO;NOVO;;
29549400000000;PARTIDO DA MOBILIZACAO NACIONAL;PMN;;
09607340000000;BRASIL ;PMB;;
32207000000000;PARTIDO TRABALHISTA CRISTAO ;PTC;;
01421700000000;PARTIDO SOCIALISTA BRASILEIRO;PSB;;
31887000000000;PARTIDO VERDE;PV;;
03653470000000;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA;PSDB;;
06954940000000;PARTIDO SOCIALISMO E LIBERDADE;PSOL;;
08950800000000;PATRIOTA ;PATRIOTA;;
13629800000000;PARTIDO SOCIAL DEMOCRATICO ;PSD;;
54956500000000;PARTIDO COMUNISTA DO BRASIL;PCdoB;;
59934000000000;AVANTE;AVANTE;;
18532300000000;SOLIDARIEDADE;SOLIDARIEDADE;;
12952200000000;PARTIDO REPUBLICANO DA ORDEM SOCIAL ;PROS;;
